org_name,breach_date,fcc_category,fcc_reportable
"Advanced Mobile Notary, LLC",2025-02-23,Telecom,True
"Aero Charter, Inc.",2020-12-06,Cable,True
Altice USA,2024-02-29,Cable,True
Altice USA,2024-03-01,Cable,True
"Altice USA, Inc.",2019-11-04,Cable,True
AT&T,2014-04-01,Telecom,True
AT&T,2017-01-25,Telecom,True
AT&T,2013-11-05,Telecom,True
AT&T,2024-03-17,Telecom,True
AT&T,2014-06-11,Telecom,True
AT&T,2014-02-01,Telecom,True
AT&T,2008-05-23,Telecom,True
AT&T,2014-10-09,Telecom,True
AT&T,2013-01-01,Telecom,True
AT&T,2012-01-01,Telecom,True
AT&T,2022-06-01,Telecom,True
AT&T Inc,2024-04-09,Telecom,True
AT&T Inc.,2024-03-17,Telecom,True
AT&T Inc.,2024-03-26,Telecom,True
AT&T Inc.,2024-04-10,Telecom,True
AT&T Inc.,2024-04-14,Telecom,True
AT&T Services,2017-02-01,Telecom,True
AT&T Services Inc.,2014-04-01,Telecom,True
"AT&T Services, Inc.",2014-04-09,Telecom,True
"AT&T Services, Inc.",2022-08-30,Telecom,True
"AT&T Services, Inc.",2014-08-11,Telecom,True
"AT&T Services, Inc.",2017-01-01,Telecom,True
"AT&T Services, Inc.",2014-06-05,Telecom,True
"AT&T Services, Inc.",2017-01-25,Telecom,True
"AT&T Services, Inc.",2023-03-01,Telecom,True
"AT&T, Inc.",2019-01-01,Telecom,True
ATT-Breach Notification,2014-08-05,Telecom,True
ATT-Breach Notification,2014-10-16,Telecom,True
ATT-SecurityBreach,2014-04-09,Telecom,True
ATT-SecurityBreach2,2013-10-01,Telecom,True
Boost Mobile,2019-03-14,Telecom,True
"Cable One, Inc.",2019-08-08,Cable,True
"Cable One, Inc.",2019-03-01,Cable,True
CenturyLink,2017-01-30,Telecom,True
CenturyLink,2017-02-28,Telecom,True
CenturyLink,2013-12-27,Telecom,True
CenturyLink Communications,2020-08-20,Telecom,True
Centurylink Communications,2022-03-15,Telecom,True
Charter Communication,2014-09-30,Cable,True
Charter Communications,2008-08-11,Cable,True
Charter Communications,2022-12-21,Cable,True
"Charter Communications, Inc.",2023-09-01,Cable,True
"Charter Communications, Inc.",2013-04-26,Cable,True
"Charter Communications, Inc.",2008-07-14,Cable,True
"Charter Communications, Inc.",2014-01-21,Cable,True
"Charter Communications, Inc.",2023-01-01,Cable,True
"Charter Next Generation, Inc.",2021-05-01,Cable,True
Comcast,2014-09-29,Cable,True
Comcast,2008-01-29,Cable,True
Comcast,2024-02-14,Cable,True
Comcast,2023-10-16,Cable,True
Comcast Cable Communications LLC,2024-10-04,Cable,True
Comcast Cable Communications LLC,2024-02-14,Cable,True
Comcast Cable Communications LLC,2023-10-16,Cable,True
Comcast Cable Communications LLC,2024-01-26,Cable,True
"Comcast Cable Communications, Inc.",2009-06-22,Cable,True
"Comcast Cable Communications, Inc.",2009-05-11,Cable,True
Cricket Wireless LLC,2018-08-21,Telecom,True
Cricket Wireless LLC,2018-08-17,Telecom,True
DISH Network Corporation,2023-02-23,Satellite,True
DISH Network L.L.C.,2023-02-22,Satellite,True
"DISH Network, LLC",2023-05-17,Satellite,True
"DISH Network, LLC",2023-02-23,Satellite,True
"DISH Network, LLC",2023-02-22,Satellite,True
Frontier Communications,2022-02-24,Telecom,True
"Frontier Communications Parent, Inc.",2023-12-18,Telecom,True
"Frontier Communications Parent, Inc.",2024-04-13,Telecom,True
"Frontier Communications Parent, Inc.",2024-04-14,Telecom,True
"Frontier Communications Parent, Inc.",2024-06-10,Telecom,True
"Frontier Communications Parent, Inc.",2024-06-12,Telecom,True
Impact Mobile Home Communities,2019-07-01,Telecom,True
Impact Mobile Home Communities,2018-10-03,Telecom,True
"Johnson Matthey, Inc.",2020-01-01,Telecom,True
Mediacom Communications Corporation,2022-07-18,Cable,True
Sprint,2019-06-02,Telecom,True
Sprint,2019-06-08,Telecom,True
Sprint,2017-05-07,Telecom,True
Sprint,2019-06-22,Telecom,True
Sprint,2020-04-02,Telecom,True
Sprint,2020-04-15,Telecom,True
Sprint Business,2019-06-08,Telecom,True
Sprint Corporation,2019-03-14,Telecom,True
Sprint Corporation,2017-05-01,Telecom,True
Sprint Corporation,2015-08-17,Telecom,True
Sprint Corporation,2018-03-02,Telecom,True
Sprint Corporation,2019-08-13,Telecom,True
Sprint Corporation,2019-05-09,Telecom,True
Sprint Nextel,2012-08-01,Telecom,True
Sprint Nextel,2009-02-01,Telecom,True
Suddenlink Communications,2006-05-01,Cable,True
T-Mobile,2017-04-01,Telecom,True
T-Mobile,2021-02-20,Telecom,True
T-Mobile,2013-11-01,Telecom,True
T-Mobile,2023-02-24,Telecom,True
T-Mobile,2022-11-25,Telecom,True
T-Mobile,2012-08-28,Telecom,True
T-Mobile,2022-03-08,Telecom,True
T-Mobile,2012-05-08,Telecom,True
T-Mobile,2020-08-31,Telecom,True
T-Mobile,2009-10-08,Telecom,True
T-Mobile,2021-03-31,Telecom,True
T-Mobile,2021-01-18,Telecom,True
"T-Mobile US, Inc.",2020-08-27,Telecom,True
"T-Mobile US, Inc.",2021-01-18,Telecom,True
T-Mobile USA,2019-11-26,Telecom,True
T-Mobile USA,2023-04-28,Telecom,True
T-Mobile USA,2021-08-17,Telecom,True
T-Mobile USA,2021-08-18,Telecom,True
T-Mobile USA,2021-08-26,Telecom,True
T-Mobile USA,2015-09-14,Telecom,True
T-Mobile USA,2022-11-25,Telecom,True
T-Mobile USA Inc,2015-11-04,Telecom,True
T-Mobile USA Inc,2019-11-26,Telecom,True
T-Mobile USA Inc.,2011-10-21,Telecom,True
T-Mobile USA Inc.,2018-08-20,Telecom,True
T-Mobile USA Inc.,2015-09-14,Telecom,True
T-Mobile USA Inc.,2015-10-01,Telecom,True
"T-Mobile USA, Inc.",2009-09-03,Telecom,True
"T-Mobile USA, Inc.",2017-08-24,Telecom,True
"T-Mobile USA, Inc.",2015-09-14,Telecom,True
"T-Mobile USA, Inc.",2021-08-17,Telecom,True
"T-Mobile USA, Inc.",2021-02-12,Telecom,True
"T-Mobile USA, Inc.",2009-10-05,Telecom,True
"T-Mobile USA, Inc.",2017-09-16,Telecom,True
"T-Mobile USA, Inc.",2013-11-26,Telecom,True
"T-Mobile USA, Inc.",2015-09-15,Telecom,True
"T-Mobile USA, Inc.",2023-02-01,Telecom,True
"T-Mobile USA, Inc.",2014-01-02,Telecom,True
"T-Mobile USA, Inc.",2021-08-13,Telecom,True
"T-Mobile USA, Inc.",2021-03-01,Telecom,True
"T-Mobile, USA",2023-02-01,Telecom,True
Verizon,2023-05-11,Telecom,True
Verizon,2016-08-10,Telecom,True
Verizon,2017-07-20,Telecom,True
Verizon,2019-06-03,Telecom,True
Verizon,2014-02-26,Telecom,True
Verizon,2008-06-27,Telecom,True
Verizon,2019-04-24,Telecom,True
Verizon Communications,2023-09-21,Telecom,True
Verizon Communications Inc,2023-09-21,Telecom,True
Verizon Communications Inc.,2023-09-21,Telecom,True
Verizon Communications Inc.,2024-02-09,Telecom,True
Verizon Communications Inc.,2024-02-06,Telecom,True
Verizon Corporate Services Group Inc.,2014-01-20,Telecom,True
Verizon Media,2019-03-12,Telecom,True
WillScot Mobile Mini Holdings Corp.,2020-11-10,Telecom,True
