firm_name,ticker,n_breaches,firm_car,control_car,treatment_effect
"Aero Charter, Inc.",CHTR,1,-4.913032513130444,0,-4.913032513130444
Altice USA,ATUS,2,-15.322895561751126,0,-15.322895561751126
"Altice USA, Inc.",ATUS,1,-22.064050082612717,0,-22.064050082612717
AT&T,T,11,-2.7363567935684148,0,-2.7363567935684148
AT&T Inc,T,1,1.5150097627953496,0,1.5150097627953496
AT&T Inc.,T,4,1.188989505861049,0,1.188989505861049
AT&T Services,T,1,-5.425612826736625,0,-5.425612826736625
AT&T Services Inc.,T,1,2.5674296980161326,0,2.5674296980161326
"AT&T Services, Inc.",T,7,-1.2672736073440392,0,-1.2672736073440392
"AT&T, Inc.",T,1,-2.9236692708638934,0,-2.9236692708638934
Boost Mobile,TMUS,1,-2.632226210147526,0,-2.632226210147526
Centurylink Communications,LUMN,1,0.615354504913812,0,0.615354504913812
Charter Communication,CHTR,1,-3.0530203610293793,0,-3.0530203610293793
Charter Communications,CHTR,2,9.965992669732765,0,9.965992669732765
"Charter Communications, Inc.",CHTR,5,3.0691307373746453,0,3.0691307373746453
"Charter Next Generation, Inc.",CHTR,1,1.3125007970347768,0,1.3125007970347768
Comcast,CMCSA,4,1.0349686184884739,0,1.0349686184884739
Comcast Cable Communications LLC,CMCSA,4,-2.7538480357744786,0,-2.7538480357744786
"Comcast Cable Communications, Inc.",CMCSA,2,-5.877579852768767,0,-5.877579852768767
Cricket Wireless LLC,TMUS,2,0.8833079120049492,0,0.8833079120049492
DISH Network Corporation,DISH,1,-29.23648357052836,0,-29.23648357052836
DISH Network L.L.C.,DISH,1,-28.535514032571474,0,-28.535514032571474
"DISH Network, LLC",DISH,3,-21.59288740454207,0,-21.59288740454207
Frontier Communications,FYBR,1,-2.068382734810603,0,-2.068382734810603
"Frontier Communications Parent, Inc.",FYBR,5,0.7583684557606409,0,0.7583684557606409
T-Mobile,TMUS,12,-0.7475238369498212,0,-0.7475238369498212
"T-Mobile US, Inc.",TMUS,2,-4.826233577048311,0,-4.826233577048311
T-Mobile USA,TMUS,7,-6.075875894899369,0,-6.075875894899369
T-Mobile USA Inc,TMUS,2,-5.446192987048998,0,-5.446192987048998
T-Mobile USA Inc.,TMUS,4,-4.807887707724312,0,-4.807887707724312
"T-Mobile USA, Inc.",TMUS,13,-1.9074385517102508,0,-1.9074385517102508
"T-Mobile, USA",TMUS,1,-3.550823128055536,0,-3.550823128055536
Verizon,VZ,7,1.242089102295374,0,1.242089102295374
Verizon Communications,VZ,1,1.6409957746592818,0,1.6409957746592818
Verizon Communications Inc,VZ,1,1.6409957746592818,0,1.6409957746592818
Verizon Communications Inc.,VZ,3,-2.7699256957760063,0,-2.7699256957760063
Verizon Corporate Services Group Inc.,VZ,1,-3.1518561647037036,0,-3.1518561647037036
Verizon Media,VZ,1,-1.8494783365265888,0,-1.8494783365265888
